Lote 109415, Stock:, 1.2 a 0 (1.2),costo,2395.000000, valor,2874 
Lote 14508115, Stock:, 4.5 a 0 (4.5),costo,2395.000000, valor,10777.5 
Lote 9828316, Stock:, 4.8 a 0 (4.8),costo,2395.000000, valor,11496 
Lote 15977016, Stock:, 1 a 0 (1),costo,2395.000000, valor,2395 
Lote 9880616, Stock:, 1 a 0 (1),costo,2395.000000, valor,2395 
Lote 11992516, Stock:, 0.65 a 0 (0.65),costo,2395.000000, valor,1556.75 
Lote 11996316, Stock:, 0.83 a 0 (0.83),costo,2395.000000, valor,1987.85 
Lote 12150115, Stock:, 3.1 a 0 (3.1),costo,8843.000000, valor,27413.3 
Lote 12144917, Stock:, 16 a 0 (16),costo,3359.000000, valor,53744 
Lote 12558915, Stock:, 0.1 a 0 (0.1),costo,3359.000000, valor,335.9 
Lote 14637417, Stock:, 8.42 a 0 (8.42),costo,5436.000000, valor,45771.12 
Lote 16050316, Stock:, 0.66 a 0 (0.66),costo,5436.000000, valor,3587.76 
Lote 23177917, Stock:, 1.1 a 0 (1.1),costo,5436.000000, valor,5979.6 
Lote 11645317, Stock:, 0.85 a 0 (0.85),costo,5436.000000, valor,4620.6 
Lote 8322116, Stock:, 2 a 0 (2),costo,5436.000000, valor,10872 
Lote 3440217, Stock:, 1.84 a 0 (1.84),costo,5436.000000, valor,10002.24 
Lote 3427217, Stock:, 1.15 a 0 (1.15),costo,5436.000000, valor,6251.4 
Lote 8338316, Stock:, 1.5 a 0 (1.5),costo,5436.000000, valor,8154 
Lote 13324316, Stock:, 6.04 a 0 (6.04),costo,5436.000000, valor,32833.44 
Lote 674417, Stock:, 5.15 a 0 (5.15),costo,5436.000000, valor,27995.4 
Lote 22581018, Stock:, 6.08 a 0 (7.58),costo,5436.000000, valor,33050.88 
Lote 1269612, Stock:, 1.6 a 0 (1.6),costo,5436.000000, valor,8697.6 
Lote 1832516, Stock:, 4.35 a 0 (4.35),costo,8591.000000, valor,37370.85 
